都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,ＵＲＬ,備考
270008,,大阪府,,大阪府北部広域防災拠点,,,,吹田市千里万博公園5-5,,34.810694,135.5395935,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府中部広域防災拠点,,,,八尾市空港1丁目209-7,,34.600609,135.60053,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南部広域防災拠点,,,,泉南市りんくう南浜2番14号,,34.3752587,135.2555791,,,,,,,,,,,,耐震性能A
270008,,大阪府,,東大阪オフサイトセンター,,,,東大阪市新上小阪1-3,,34.652566,135.589962,,,,,,,,,,,,耐震性能A
270008,,大阪府,,熊取オフサイトセンター,,,,泉南郡熊取町朝代西2丁目1010-1,,34.38753,135.350249,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府立消防学校,,,,大東市平野屋1丁目4番1号,,34.7098437,135.6375308,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府本庁舎（本館）,,,,大阪市中央区大手前2丁目1番22号,,34.686338,135.519667,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府本庁舎（別館）,,,,大阪市中央区大手前3丁目2番12号,,34.6853667,135.5183694,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府咲洲庁舎,,,,大阪市住之江区南港北1-14-16,,34.637903,135.414522,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府新別館南館,,,,大阪市中央区大手前3丁目1番43号,,34.684014,135.5180945,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府新別館北館,,,,大阪市中央区大手前3丁目1番43号,,34.684305,135.518256,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府泉南府民センタービル,,,,岸和田市野田町３丁目13番２号,,34.4542879,135.3802535,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府北河内府民センタービル,,,,枚方市大垣内町２丁目１５番１号,,34.8132097,135.6537359,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府三島府民センタービル,,,,茨木市中穂積１丁目３番４３号,,34.817751,135.558421,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府豊能府民センタービル,,,,池田市城南１丁目１番１号,,34.82199,135.428416,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南河内府民センタービル,,,,富田林市寿町２丁目６番１号,,34.5024132,135.5965194,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府立修徳学院,,,,柏原市大字高井田809番1号,,34.573189,135.643085,,,,,,,,,,,,耐震性能A
